hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 650.554, 298.988, 650.554, 298.988, 650.554, 298.988
2, 0.00000, 650.67, 299.051, 650.67, 299.051, 650.67, 299.051
3, 0.00000, 596.289, 272.298, 596.289, 272.298, 596.289, 272.298
4, 0.00000, 650.66, 299.045, 650.66, 299.045, 650.66, 299.045
5, 0.00000, 650.671, 299.051, 650.671, 299.051, 650.671, 299.051
6, 0.00000, 596.289, 272.298, 596.289, 272.298, 596.289, 272.298
7, 0.00000, 611.349, 326.438, 611.349, 326.438, 611.349, 326.438
8, 0.00000, 615.343, 383.008, 615.343, 383.008, 615.343, 383.008
9, 0.00000, 612.064, 442.077, 612.064, 442.077, 612.064, 442.077
10, 0.00000, 544.758, 506.925, 544.758, 506.925, 544.758, 506.925
11, 0.00000, 266.786, 524.004, 266.786, 524.004, 266.786, 524.004
12, 0.00000, 132.108, 501.064, 132.108, 501.064, 132.108, 501.064
13, 0.00000, 24.6655, 476.825, 24.6655, 476.825, 24.6655, 476.825
14, 0.00000, 134.369, 534.987, 134.369, 534.987, 134.369, 534.987
15, 0.00000, 125.009, 536.13, 125.009, 536.13, 125.009, 536.13
16, 0.00000, 98.8237, 504.432, 98.8237, 504.432, 98.8237, 504.432
17, 0.00000, 172.006, 432.448, 172.006, 432.448, 172.006, 432.448
18, 0.00000, 239.496, 306.345, 239.496, 306.345, 239.496, 306.345
19, 0.00000, 322.951, 194.456, 322.951, 194.456, 322.951, 194.456
20, 0.00000, 369.093, 168.721, 369.093, 168.721, 369.093, 168.721
21, 0.00000, 368.201, 163.686, 368.201, 163.686, 368.201, 163.686
22, 0.00000, 705.011, 326.116, 705.011, 326.116, 705.011, 326.116
23, 0.00000, 705.093, 326.165, 705.093, 326.165, 705.093, 326.165
24, 0.00000, 650.682, 299.057, 650.682, 299.057, 650.682, 299.057
